Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,season_code,agro_zone,crop_category,monsoon_dependent,irrigation_intensity,fertilizer_per_ha,pesticide_per_ha,input_intensity,rainfall_efficiency,yield_log,area_log,production_log,fertilizer_log,rainfall_log,year_normalized,year_squared,decade,State_encoded,Crop_encoded,Season_encoded,agro_zone_encoded,crop_category_encoded,year_bin
Maize,2012,Kharif     ,Uttarakhand,26096.0,38701,1309.8,3935276.8,8089.76,1.387692308,,Other,cereals,0,0.45,150.79999999999998,0.31,151.10999999999999,29.524717729630762,0.8703273379823473,10.16957564417565,10.563646557269093,15.18549203454635,7.178392916824659,0.6521739130434783,0.42533081285444235,1,28,24,1,7,1,mid
Garlic,2019,Whole Year ,Gujarat,11313.0,81245,1067.8,1943120.88,4185.81,7.213181818,,North_Western_Plains,spices,0,0.65,171.76,0.37000000000000005,172.13,76.01515718562875,2.105740402343286,9.333796175903101,11.30523686821088,14.479806454132882,6.974291802782381,0.9565217391304348,0.9149338374291116,2,7,14,4,6,7,late
Ragi,2002,Kharif     ,Madhya Pradesh,608.0,150,800.8,57559.36,152.0,0.185454545,,Central_Plateau,cereals,0,0.45,94.67,0.25,94.92,0.18707907208780244,0.17012628331670077,6.411818267709897,5.017279836814924,10.960589415325039,6.686859200208406,0.21739130434782608,0.04725897920604915,0,14,38,1,1,1,early
Wheat,2009,Rabi       ,Himachal Pradesh,350440.0,324174,969.9,54605560.8,59574.8,0.933333333,,Other,cereals,0,0.45,155.82,0.17,155.98999999999998,333.89020496446597,0.6592456287118501,12.76694764033176,12.689038772417085,17.815646299996164,6.878223476376099,0.5217391304347826,0.2722117202268431,1,9,53,2,7,1,mid
Onion,2014,Kharif     ,Puducherry,1.0,9,1330.0,150.96,0.33,9.0,,Other,spices,0,0.45,150.96,0.33,151.29000000000002,0.0067618332081141996,2.302585092994046,0.6931471805599453,2.302585092994046,5.023617328319425,7.193685818395112,0.7391304347826086,0.546313799621928,1,21,31,1,7,7,late
Sunflower,2011,Kharif     ,Karnataka,190774.0,82494,1178.986364,31958460.48,62955.42,0.50625,,Southern_Plateau,oilseeds,0,0.45,167.52,0.33,167.85000000000002,69.91097737804027,0.40962311825682807,12.158850002157834,11.320492964425545,17.27994753877998,7.073258161460737,0.6086956521739131,0.37051039697542537,1,12,47,1,8,3,mid
Sugarcane,2011,Whole Year ,Jharkhand,766.0,27049,1374.7,128320.32,252.78,33.58888889,,Central_Plateau,cash_crops,0,0.45,167.52,0.33,167.85,19.66199025950425,3.5435325001434665,6.642486801367256,10.205442284274628,11.762292709830476,7.22671797146695,0.6086956521739131,0.37051039697542537,1,11,46,4,1,0,mid
Moong(Green Gram),2004,Summer     ,Odisha,111395.0,35257,1290.4,12068534.3,23392.95,0.275,,East_Coast,others,0,0.45,108.34,0.21000000000000002,108.55,27.30137834907852,0.24294617861038947,11.620846699187933,10.470447732845688,16.306112235254478,7.163482180192367,0.30434782608695654,0.09262759924385634,0,20,27,3,2,4,early
Khesari,2008,Rabi       ,Madhya Pradesh,51566.0,38829,895.0,7376000.64,4640.94,0.672413793,,Central_Plateau,pulses,0,0.45,143.04,0.09,143.13,43.3359375,0.5142679678951079,10.850637211996267,10.566948422725712,15.813742266561276,6.79794041297493,0.4782608695652174,0.2287334593572779,1,14,22,2,1,6,mid
Gram,2019,Rabi       ,Nagaland,760.0,640,1593.0,130537.6,281.2,0.834545455,,North_Eastern,pulses,0,0.45,171.76000000000002,0.37,172.13,0.4015056461731493,0.6067967423748624,6.634633357861686,6.46302945692067,11.779424247449608,7.374001859350161,0.9565217391304348,0.9149338374291116,2,19,16,2,5,6,late
Rapeseed &Mustard,2012,Rabi       ,Tripura,2132.0,1701,1882.2,321505.6,660.92,0.79125,,Other,oilseeds,0,0.45,150.79999999999998,0.31,151.10999999999999,0.9032497875955819,0.5829137001602446,7.665284718471351,7.43955930913332,12.680773351220482,7.540727736506012,0.6521739130434783,0.42533081285444235,1,26,39,2,7,3,mid
